Date,Stake,Ward/Branch,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Routes Completed,Doors in Route,Time Spent,Bags/Door,Bags/Route,Total Volunteers,Neighbourhood,ID
2023-09-23 12:53:43,Edmonton North Stake,Namao Ward,2,2,145,150,5,2500,150,0.058,29.0,4,Namao,1
2023-09-23 13:23:10,Edmonton North Stake,Namao Ward,1,4,24,40,1,211,40,0.1137440758293838,24.0,5,Namao,2
2023-09-23 13:55:30,Gateway Stake,Lee Ridge Ward,3,2,68,112,3,466,145,0.1459227467811159,22.666666666666668,5,Lee Ridge,3
2023-09-23 11:47:31,Gateway Stake,Blackmud Creek Ward,2,0,35,60,1,148,120,0.2364864864864864,35.0,2,Blackmud Creek,4
2023-09-23 12:41:37,Riverbend Stake,Rabbit Hill Ward,3,1,100,105,2,80,105,1.25,50.0,4,Rabbit Hill,5
2023-09-23 10:36:10,Bonnie Doon Stake,Clareview Ward,1,3,14,25,1,14,25,1.0,14.0,4,Clareview,6
2023-09-23 10:36:52,Gateway Stake,Crawford Plains Ward,3,1,18,25,2,144,30,0.125,9.0,4,Crawford Plains,7
2023-09-23 10:40:22,Gateway Stake,Silver Berry Ward,2,0,20,30,1,186,30,0.1075268817204301,20.0,2,Silver Berry,8
2023-09-23 10:41:08,Gateway Stake,Crawford Plains Ward,2,0,20,25,1,195,30,0.1025641025641025,20.0,2,Crawford Plains,9
2023-09-23 10:53:37,Bonnie Doon Stake,Connors Hill Ward,1,2,30,30,1,300,30,0.1,30.0,3,Connors Hill,10
2023-09-23 10:48:19,Gateway Stake,Blackmud Creek Ward,2,0,20,20,1,179,20,0.1117318435754189,20.0,2,Blackmud Creek,11
2023-09-24 07:41:33,Edmonton North Stake,Stony Plain Ward,1,0,16,30,1,195,30,0.082051282051282,16.0,1,Stony Plain,12
2023-09-23 10:58:47,Bonnie Doon Stake,Clareview Ward,2,3,24,45,3,250,45,0.096,8.0,5,Clareview,13
2023-09-23 10:55:58,Bonnie Doon Stake,Londonderry Ward,3,2,20,40,1,107,40,0.1869158878504672,20.0,5,Londonderry,14
2023-09-23 10:52:50,Bonnie Doon Stake,Southgate Ward,2,3,15,45,1,13,35,1.1538461538461535,15.0,5,Southgate,15
2023-09-23 10:50:22,Gateway Stake,Lee Ridge Ward,1,4,17,25,1,141,22,0.1205673758865248,17.0,5,Lee Ridge,16
2023-09-23 10:51:58,Bonnie Doon Stake,Londonderry Ward,2,0,100,5,2,200,49,0.5,50.0,2,Londonderry,17
